id,title,company,location,category,job_type,publication_date,salary,url,source
arbeitnow_software-engineering-intern-special-projects-munich-416077,"Software Engineering Intern, Special Projects",Doctario GmbH,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/doctario-gmbh/software-engineering-intern-special-projects-munich-416077,Arbeitnow
arbeitnow_ai-engineering-intern-munich-363696,AI Engineering Intern,Doctario GmbH,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/doctario-gmbh/ai-engineering-intern-munich-363696,Arbeitnow
arbeitnow_projektmitarbeiter-reparatur-modernisierung-hallbergmoos-331746,Projektmitarbeiter (m/w/d) Reparatur & Modernisierung,Lödige Industries GmbH,Hallbergmoos,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/lodige-industries-gmbh/projektmitarbeiter-reparatur-modernisierung-hallbergmoos-331746,Arbeitnow
arbeitnow_business-analyst-contact-center-refnr-46695-wiesbaden-270980,Business Analyst - Contact Center (m/w/d) (Ref.Nr.: 46695),Wavestone Germany AG,Wiesbaden,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/wavestone-germany-ag/business-analyst-contact-center-refnr-46695-wiesbaden-270980,Arbeitnow
arbeitnow_junior-account-manager-essen-303503,Junior Account Manager (m/w/d),evolve+adapt GmbH,Essen,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/evolveadapt-gmbh/junior-account-manager-essen-303503,Arbeitnow
arbeitnow_senior-consultant-team-lead-consumer-insights-mobility-marktforschung-taunusstein-15839,Senior Consultant / Team Lead (m/w/d) Consumer Insights & Mobility Marktforschung,IFAK Institut GmbH & Co. KG,Taunusstein,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/ifak-institut-gmbh-co-kg/senior-consultant-team-lead-consumer-insights-mobility-marktforschung-taunusstein-15839,Arbeitnow
arbeitnow_teamleiter-mechanische-instandhaltung-solingen-408955,Teamleiter mechanische Instandhaltung (m/w/d),WÜSTHOF GmbH,Solingen,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/wusthof-gmbh/teamleiter-mechanische-instandhaltung-solingen-408955,Arbeitnow
arbeitnow_frontend-react-developer-hamburg-154621,Frontend React Developer (m/w/d),virtual7 GmbH,Hamburg,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/virtual7-gmbh/frontend-react-developer-hamburg-154621,Arbeitnow
arbeitnow_influencer-marketing-manager-berlin-307821,Influencer Marketing Manager,Every.,Berlin,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/every/influencer-marketing-manager-berlin-307821,Arbeitnow
arbeitnow_buchhalter-immobilienverwaltung-aachen-227011,Buchhalter (m/w/d) Immobilienverwaltung,Parte Verwaltung GmbH,Aachen,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/parte-verwaltung-gmbh/buchhalter-immobilienverwaltung-aachen-227011,Arbeitnow
arbeitnow_senior-employer-branding-consultant-munich-24382,(Senior) Employer Branding Consultant (m/w/d),Gessulat + Gessulat,Munich,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/gessulat-gessulat/senior-employer-branding-consultant-munich-24382,Arbeitnow
arbeitnow_sap-gts-senior-consultant-garching-441521,SAP GTS Senior Consultant (m/f/d),Amer Sports,Garching,Technology,Full-time,2026-05-08,Negotiable,https://www.arbeitnow.com/jobs/companies/amer-sports/sap-gts-senior-consultant-garching-441521,Arbeitnow
